GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Maven Build Go Green,client.retrieve,FeatRetrive,5,52,1,1,1,12,1,2,0,2
Maven Build Go Green,client.retrieve,FeatRetrieve,1,60,1,1,1,16,1,2,0,2
Maven Build Go Green,client.retrieve,FoodRetrieve,15,135,6,6,6,33,6,4,0,4
Maven Build Go Green,client.retrieve,AchievementRetrieve,6,194,0,0,3,45,0,6,0,6
Maven Build Go Green,client.retrieve,BaseRetrieve,0,12,0,0,0,5,0,2,0,2
Maven Build Go Green,client.retrieve,UserRetrieve,4,250,5,9,2,58,5,9,0,7
Maven Build Go Green,client.retrieve,EmissionsRetrieve,0,164,0,0,0,32,0,5,0,5
Maven Build Go Green,server,SpringBoot,5,3,0,0,2,1,1,1,1,1
Maven Build Go Green,server.model,Meal,36,220,0,6,13,64,1,27,1,24
Maven Build Go Green,server.model,User,0,172,0,14,0,55,0,32,0,25
Maven Build Go Green,server.model,Feat,0,65,0,0,0,28,0,12,0,12
Maven Build Go Green,server.model,VehicleEmission,0,101,0,0,0,31,0,11,0,11
Maven Build Go Green,server.model,DietEmission,0,59,0,0,0,19,0,7,0,7
Maven Build Go Green,server.model,Achievement,0,99,0,14,0,31,0,19,0,12
Maven Build Go Green,server.model,EnergyEmission,0,80,0,0,0,25,0,9,0,9
Maven Build Go Green,server.model,TrainEmission,0,101,0,0,0,31,0,11,0,11
Maven Build Go Green,server.model,FlightEmission,0,73,0,0,0,19,0,3,0,3
Maven Build Go Green,server.security,AuthenticationPoint,18,9,0,0,5,4,1,2,1,2
Maven Build Go Green,server.security,SecurityConfig,0,77,0,0,0,17,0,5,0,5
Maven Build Go Green,server.security,MyUserDetailsService,0,49,0,4,0,10,0,6,0,4
Maven Build Go Green,server.security,MyUserPrincipal,0,24,0,0,0,10,0,8,0,8
Maven Build Go Green,server.api,ApiEndPoints.Food,3,12,0,0,1,4,1,4,1,4
Maven Build Go Green,server.api,FoodApi,3,216,0,8,1,42,1,9,1,5
Maven Build Go Green,server.api,EmissionApi.new ArrayList() {...},0,29,0,0,0,4,0,1,0,1
Maven Build Go Green,server.api,EmissionApi,28,416,12,24,11,90,13,12,1,6
Maven Build Go Green,server.api,EmissionApi.new ArrayList() {...},0,29,0,0,0,4,0,1,0,1
Maven Build Go Green,server.api,EmissionApi.new ArrayList() {...},0,55,0,0,0,6,0,1,0,1
Maven Build Go Green,server.api,EmissionApi.new ArrayList() {...},0,55,0,0,0,6,0,1,0,1
Maven Build Go Green,server.api,EmissionApi.4.new ArrayList() {...},0,18,0,0,0,4,0,1,0,1
Maven Build Go Green,server.api,EmissionApi.2.new ArrayList() {...},0,19,0,0,0,4,0,1,0,1
Maven Build Go Green,server.api,EmissionApi.2.new ArrayList() {...},0,18,0,0,0,4,0,1,0,1
Maven Build Go Green,server.api,EmissionApi.2.new ArrayList() {...},0,18,0,0,0,4,0,1,0,1
