GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Maven Build Go Green,server,SpringBoot,5,3,0,0,2,1,1,1,1,1
Maven Build Go Green,server.model,Meal,256,0,6,0,77,0,28,0,25,0
Maven Build Go Green,server.model,User,0,141,0,14,0,44,0,27,0,20
Maven Build Go Green,server.model,Achievement,0,99,0,14,0,31,0,19,0,12
Maven Build Go Green,server.model,Feat,0,53,0,0,0,23,0,11,0,11
Maven Build Go Green,server.security,AuthenticationPoint,0,27,0,0,0,9,0,3,0,3
Maven Build Go Green,server.security,SecurityConfig,0,74,0,0,0,15,0,4,0,4
Maven Build Go Green,client.FXMLControllers,LoginController,59,0,4,0,15,0,5,0,3,0
Maven Build Go Green,client.FXMLControllers,FoodController,427,0,26,0,83,0,25,0,12,0
Maven Build Go Green,client.FXMLControllers,ProfileController,31,0,0,0,6,0,2,0,2,0
Maven Build Go Green,client.FXMLControllers,TransportController,3,0,0,0,1,0,1,0,1,0
Maven Build Go Green,client.FXMLControllers,CompareController,3,0,0,0,1,0,1,0,1,0
Maven Build Go Green,client.FXMLControllers,RootController,507,0,0,0,84,0,20,0,20,0
Maven Build Go Green,client.FXMLControllers,ScoreController,15,0,0,0,4,0,2,0,2,0
Maven Build Go Green,client.FXMLControllers,EnergyController,4,0,0,0,2,0,2,0,2,0
Maven Build Go Green,server.API,EmissionAPI,3,0,0,0,1,0,1,0,1,0
Maven Build Go Green,server.API,FoodAPI,214,0,14,0,48,0,13,0,6,0
Maven Build Go Green,client,ClientGui,29,0,0,0,9,0,3,0,3,0
Maven Build Go Green,client.serverCommunication,ClientController,315,0,14,0,75,0,15,0,8,0
Maven Build Go Green,client.serverCommunication,UserController,285,0,12,0,69,0,13,0,7,0
Maven Build Go Green,client.serverCommunication,AchievementController,220,0,12,0,55,0,12,0,6,0
Maven Build Go Green,client.serverCommunication,FoodController,3,0,0,0,1,0,1,0,1,0
Maven Build Go Green,client.serverCommunication,EmissionsController,3,0,0,0,1,0,1,0,1,0
Maven Build Go Green,server.controller,AchievementController,0,65,0,0,0,14,0,5,0,5
Maven Build Go Green,server.controller,UserController,0,114,0,4,0,24,0,11,0,9
Maven Build Go Green,server.controller,FeatController,15,56,0,0,3,10,2,3,2,3
Maven Build Go Green,server.controller,GlobalControllerExceptionHandler,0,5,0,0,0,3,0,3,0,3
Maven Build Go Green,client.model,Emission,3,0,0,0,1,0,1,0,1,0
Maven Build Go Green,client.model,Meal,256,0,6,0,77,0,28,0,25,0
Maven Build Go Green,client.model,User,91,0,12,0,27,0,18,0,12,0
Maven Build Go Green,client.model,Achievement,93,0,14,0,29,0,18,0,11,0
