GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Maven Build Go Green,client.retrieve,FeatRetrive,60,0,4,0,15,0,4,0,2,0
Maven Build Go Green,client.retrieve,FoodRetrieve,15,135,6,6,6,33,6,4,0,4
Maven Build Go Green,client.retrieve,AchievementRetrieve,76,174,9,7,20,41,9,5,1,5
Maven Build Go Green,client.retrieve,BaseRetrieve,0,12,0,0,0,5,0,2,0,2
Maven Build Go Green,client.retrieve,UserRetrieve,49,210,8,8,13,49,8,7,1,6
Maven Build Go Green,client.retrieve,EmissionsRetrieve,0,164,0,0,0,32,0,5,0,5
Maven Build Go Green,server,SpringBoot,5,3,0,0,2,1,1,1,1,1
Maven Build Go Green,server.model,Meal,36,220,0,6,13,64,1,27,1,24
Maven Build Go Green,server.model,User,0,172,0,14,0,55,0,32,0,25
Maven Build Go Green,server.model,Feat,0,65,0,0,0,28,0,12,0,12
Maven Build Go Green,server.model,VehicleEmission,0,101,0,0,0,31,0,11,0,11
Maven Build Go Green,server.model,DietEmission,33,26,0,0,7,12,1,6,1,6
Maven Build Go Green,server.model,Achievement,0,99,0,14,0,31,0,19,0,12
Maven Build Go Green,server.model,EnergyEmission,0,80,0,0,0,25,0,9,0,9
Maven Build Go Green,server.model,TrainEmission,0,101,0,0,0,31,0,11,0,11
Maven Build Go Green,server.model,FlightEmission,0,73,0,0,0,19,0,3,0,3
Maven Build Go Green,server.security,AuthenticationPoint,18,9,0,0,5,4,1,2,1,2
Maven Build Go Green,server.security,SecurityConfig,0,77,0,0,0,17,0,5,0,5
Maven Build Go Green,server.security,MyUserDetailsService,26,23,2,2,5,5,3,3,2,2
Maven Build Go Green,server.security,MyUserPrincipal,0,24,0,0,0,10,0,8,0,8
Maven Build Go Green,server.api,FoodApi,3,207,3,7,1,43,4,7,1,5
Maven Build Go Green,server.api,EmissionApi.new ArrayList() {...},0,29,0,0,0,4,0,1,0,1
Maven Build Go Green,server.api,EmissionApi,149,382,25,23,36,71,22,8,2,4
Maven Build Go Green,server.api,EmissionApi.new ArrayList() {...},0,29,0,0,0,4,0,1,0,1
Maven Build Go Green,server.api,EmissionApi.new ArrayList() {...},55,0,0,0,6,0,1,0,1,0
Maven Build Go Green,server.api,EmissionApi.new ArrayList() {...},0,55,0,0,0,6,0,1,0,1
Maven Build Go Green,server.api,EmissionApi.4.new ArrayList() {...},0,18,0,0,0,4,0,1,0,1
